問題,答え,読み,最終確認日
主にインド南部やスリランカで話されている、テルグ語、カンナダ語、タミル語などが属する言語のグループを何語族というでしょう？,ドラヴィダ語族,ドラヴィダ,2020/04/03
主にカマキリなどの昆虫に寄生し、宿主を水辺まで誘導して入水させることで知られる線形虫を、乾燥すると固くなることから何と呼ぶでしょう？,ハリガネムシ,ハリガネムシ,2020/04/03
主に花崗岩や閃緑岩、斑れい岩などが分類される、マグマから生成される火成岩の中でもゆっくりと冷えて固まったものを何岩というでしょう？,深成岩,しんせい,2020/04/03
首都をヤクーツクに置き、ロシア連邦を構成する共和国の中で最も面積が大きい、極東にある共和国はどこでしょう？,サハ共和国,サハ,2020/04/03
収入の少ない家庭がより多く必要とするため、価格の下降に伴って需要が減少する劣等財のことを、これを発見したイギリスの経済学者の名をとって何財というでしょう？,ギッフェン財,ギッフェン,2020/04/03
熟成した青エンドウを甘く煮詰めたものを、ある鳥の名を用いて一般に何豆というでしょう？,うぐいす豆,うぐいす,2020/04/03
初めて地球以外の惑星軌道に乗った探査機である、火星のオリンポス山などの地形を撮影し、マリネリス峡谷の名前の由来となったNASAの火星探査機は何でしょう？,マリナー9号,マリナー9,2020/04/03
初代三遊亭圓遊が寄席で踊っていた踊りの名に由来する、裾が股より長く膝下丈まであるズボン下を何というでしょう？,ステテコ,ステテコ,2020/04/03
初代松本幸四郎が若い頃に奉公した店の名にちなむ、歌舞伎の松本幸四郎や市川染五郎などの名跡の屋号は何でしょう？,高麗屋,こうらいや,2020/04/03
将棋で穴熊囲いを完成させた時、王（玉）の1つ横のマスにある駒は何でしょう？,桂,けい,2020/04/03
将棋の駒のうち、チェスのルークと基本的に同じ動きをするのは何でしょう？,飛,ひ,2020/04/03
小説『グレート・ギャツビー』や『ロング・グッドバイ』の日本語訳を手掛けたことや、『海辺のカフカ』『ノルウェイの森』『1Q84』などの小説の執筆で知られる日本人作家は誰でしょう？,村上春樹,むらかみはるき,2020/04/03
小説家・芥川龍之介が自殺に用いた睡眠薬を処方したとされる精神科医で、子に作家の北杜夫を持ち、歌集『赤光』などの代表作がある歌人としても活動した人物は誰でしょう？,斎藤茂吉,さいとうもきち,2020/04/03
小説家としては『解夏』、映画監督としては『長江』、歌手としては『関白宣言』などの作品で知られる長崎県出身の人物は誰でしょう？,さだまさし,さだまさし,2020/04/03
松尾芭蕉の『おくのほそ道』で、芭蕉が同行者の河合曾良と別れた場所として知られる、石川県加賀市にある温泉は何温泉でしょう？,山中温泉,やまなか,2020/04/03
上野東照宮の『昇り龍』や日光東照宮の『眠り猫』などの建築彫刻で知られる、江戸時代初期に活躍したとされる伝説的な名工は誰でしょう？,左甚五郎,ひだりじんごろう,2020/04/03
常用対数とは、底がいくつの対数のことでしょう？,10,10,2020/04/03
神奈川県にある3つの政令指定都市とは横浜市、川崎市とどこでしょう？,相模原市,さがみはら,2020/04/03
身分証明書などを偽造して所有者になりすまし、他人の不動産を勝手に転売したり担保に入れたりする詐欺師のことを漢字3文字で何というでしょう？,地面師,じめんし,2020/04/03
人や物事をひどく忌み嫌うことを、生き物を表す漢字を2つ用いて「何のごとく」嫌うというでしょう？,蛇蝎のごとく,だかつ,2020/04/03
人間の眼で、厚みを変えることで光を屈折して網膜上に像を結ばせる凸レンズ状の透明な構造体を何というでしょう？,水晶体,すいしょうたい,2020/04/03
人類史上初めて素潜りで100mを超える記録を達成したフランス人ダイバーは誰でしょう？,ジャック・マイヨール,マイヨール,2020/04/03
水墨画家・雪舟が幼い頃修行していた、現在の岡山県総社市にある寺で、彼が罰として柱に縛りつけられた際に自らの涙と足の指を使って床板に見事なネズミの絵を描いたという伝説で知られるのはどこでしょう？,宝福寺,ほうふくじ,2020/04/03
世界バドミントン連盟が偶数年に開催している男子の国別対抗戦を、連盟の初代会長の名から何カップというでしょう？,トマスカップ,トマス,2020/04/03
世界的に有名なラム酒のブランド名に由来する、お笑いコンビ「さまぁ～ず」の旧コンビ名は何でしょう？,バカルディ,バカルディ,2020/04/03
世帯主の収入が高いほど配偶者の就業率が低くなるという法則のことを、これを研究したアメリカと日本の2人の経済学者の名から「何の法則」というでしょう？,ダグラス・有沢の法則,ダグラスありさわ,2020/04/03
勢いが盛んなことのたとえで、「千里往って千里還る」といわれる動物は何でしょう？,虎,とら,2020/04/03
成体の大きさは10m程になるものもある寄生虫で、ある紐に似ていることからその名前が付けられたものは何でしょう？,サナダムシ,サナダムシ,2020/04/03
先端技術、基礎科学、思想芸術の3部門からなる、京セラの稲盛和夫名誉会長が創設した稲盛財団が1985年から運営する国際的な学術賞は何賞でしょう？,京都賞,きょうと,2020/04/03
戦前の日本では「勝利」に引っかけて「沼狸」と呼ばれ、軍が防寒服の毛皮用として飼育を推奨していたものの、現在は特定外来生物に指定されている、南アメリカ原産の哺乳類は何でしょう？,ヌートリア,ヌートリア,2020/04/03
浅野内匠頭や赤穂浪士の墓があることで有名な、東京都港区高輪にある曹洞宗の寺は何でしょう？,泉岳寺,せんがくじ,2020/04/03
